,0
362,  Vou me matar
363,Minha mãe quando ver a fatura do cartão vai querer me matar kk
364,Quer me matar é comer de boca aberta perto de mim 😡
366,"  eu: meu cabelo tá cheio de nó, vou pentear

30 minutos depois de quase me matar pra conseguir terminar, passo a mão no meu ca…"
367, No dia que eu for atrás de reply de outras pessoas pra defender presidente do meu time e ofender a profi… 
368,"Eu queria estar twitando falando sobre o ****** mas tem gente aqui que não pode me ver falando disso pq vai me matar, bosta"
369, quer me matar é?
371,"  a carta de suicidio de getulio vargas a frase ""saio da vida para entrar na historia"" é a coisa mais CHIQUE da historia do…"
372,"imaginar sua carta de suicídio é um caminho sem volta
questões existenciais até altas horas"
373,"  quando alguém falar de ansiedade e depressão, de ouvidos. Converse, a tua mensagem pode decidir se a próxima vai ser u…"
374,MANO? a garota tratando a martha como uma NADA sendo que a garota SE JOGOU na frente do carro com uma CAA DE SUIC… 
375,"Merda de vida.

só não vai ter a 3° carta de suicídio porque eu só conseguiria escrever: Eu cansei, perdão."
376,gyovanna passa o dia deprimida e escreve carta de suicidio. Gyovanna é doente né possivel
377,“Se isso fosse uma carta de suicídio” by Ella 
378,"eu dei uma carta pra minha mãe, contando tudo que já aconteceu comigo e eu apenas guardei pra mim... incluindo minh… "
379,Eu já li tanto a carta de suicídio do Kurt que acho que já sei de cor
380," cara, eu ja vi camiseta com a carta de suicidio do kurt como “estampa”, e tenho certeza de que existe cois… "
381,"  Quando alguém lhe falar sobre ansiedade, depressão, pânico, jamais menospreze.Não é pq vc não vê uma crise q ela não exis…"
382,"quando eu me matar, vou escrever uma carta de suicídio e vou jogar a porra da culpa toda pra cima dos meus pais que… "
383,Ai gente. E o Tyrion assinando a carta de suicídio qnd foi soltar o irmao pqp nao faz isso inferno
384,Eu fiz uma carta de suicídio dia 26/10/2018 e nunca pensei q eu iria continuar com a carta em 2019
385," Eu escreveria uma carta de suicídio, e exterminaria tudo aquilo que me fizera sofrer...:/"
386,Vcs ja escreveram a carta de suicídio de vcs na cabeça alguma vez? Pq eu to na 5ta
387,"  começo fazendo uma citação de um autor desconhecido:

em alguns dias, sou como a obra de arte ""noites estreladas"" de van…"
388,"começo fazendo uma citação de um autor desconhecido:

em alguns dias, sou como a obra de arte ""noites estreladas"" d… "
389,mano meu curious cat é uma loucura ontem foi assédio hoje foi carta de suícidio Eu Não Sei Lidar
390," miga ele era muito viciado em heroína e depressivo, não foi a cortney que matou ele, isso é um absurdo!!… "
391,"Queria uma forma simples de me despedir dos meus amigos de uma maneira que eles não percebam oq eu vou fazer.
Minha… "
392,"Em um ato ela incendeia a delegacia da cidade em um ato de vingança contra as autoridades locais, mas não sabia que… "
393,eu lembro de ter escrito minha carta de suicídio e um dos estopim ter sido minha mãe
394,"Antes de cometerem suicídio juntos, ele escreveu uma carta emocionante para esposa "
395,"vendo agora meu Twitter tá parecendo uma carta de suicidio

abandonando aqui até melhorar"
396,"se eu fosse escrever minha carta de suicídio eu contaria sobre meu passado, sabe eu quero viver odeio guardar as co… "
397,"a única coisa que eu li dela foi a carta de suicídio, isso a anos atrás, mas nunca me saiu da cabeça"
398,"Minha carta de suicídio está pronta dês de 2015, quando eu realmente vou tomar coragem, oque me impede de fazer iss… "
399,Eu não aceito estar em uma carta de suicídio e deixar a pessoa ir assim tão fácil
400,Percebi que cheguei ao ponto de fazer uma carta de suicídio 😔
401,"a única informação liberada pela polícia sobre sua carta de suicídio deixada em seu computador foi o começo, em que… "
402,"Decepcionados com o  ?
Vocês esperavam alguma gratidão ou reconhecimento de alguém que mandou a mãe s… "
403,vou escrever minha carta de suicídio hj a noite nao vou fazer nada alem disso mas eu quero escrever essa carta
404,Uma pessoa com TOC e TDAH é a carta assinada de suicídio
405,"eu acabei de ler a carta de suicídio deixada por Kurt Cobain
porra..."
406,"eu deveria estar fazendo as tarefas de biologia, mas estou escrevendo minha carta de suicídio, incrível"
407,"  CAA DE PRÉ-SUICÍDIO SEM O FUTURO SUICÍDIO (pq eu não tenho a coragem necessária)

Eu estou cansado. Cansado de tanto te…"
408,"CAA DE PRÉ-SUICÍDIO SEM O FUTURO SUICÍDIO (pq eu não tenho a coragem necessária)

Eu estou cansado. Cansado de ta… "
409,"~A carta de suicídio:

Antes de cometer o massacre, Wellington escreveu uma carta de suicídio. Caso vocês queiram l… "
410,listen before i go é claramente uma carta de suicídio e ngm ta falando nada entao ok
411,"  O que está no meu header é o que vou escrever um dia na minha carta de suicídio, está genial"
412,Interpreta isto como a minha carta de suicídio
413,"Eu queria fazer uma carta de suicídio agora, mas para isso eu preciso tá muito mal pq aí vou conseguir dizer melhor oq eu sinto"
414,"eu tava escrevendo minha carta de suicídio quando minha mãe veio me abraçar, eu amo essa mulher mais que qualquer coisa"
415,"escrever uma carta de suicídio é tão estranho,,, vc tá se referindo a vc como se vc já estivesse morto... estranho"
416,* escrevendo uma carta de suicídio *
417," suicídio, tem uma carta em cima da mesa o que provavelmente seria uma carta de suicídio, a porta ta tranc… "
418,"Além que a carta de suicídio está em tinta azul enquanto a caneta ao lados é vermelha, então o assassino pretendia… "
419,"a bolsa que foi aberta pela mão direita, e a faca do pão está do lado direito do prato. o quarto está bagunçado dem… "
420," suicídio, a porta não tem sinal de arrombamento e tem uma carta de despedida (eu acho) em cima da mesa"
421,"O que está no meu header é o que vou escrever um dia na minha carta de suicídio, está genial"
422,Escrevi uma carta de (suicídio) aos 11 anos
423,"um cara postou uma potencial carta de suicídio no facebook, fui falar com ele e ele me tratou super mal

ele não qu… "
424,"minha amiga tentou se matar hoje e escreveu meu nome na carta de suicidio dela me agradecendo por tudo
eu to me sentindo tão mal"
425,"O bom do twitter é que tudo que eu posto ninguém lê, então caso eu esteja aqui escrevendo uma carta de suicídio, ta… "
426,jair colonostofezes será mencionado na minha carta de suicídio por acabar com o último pingo de sanidade que me resta
427,Isso é uma carta de suicídio ou estou fugindo para a França?
428," Uma amiga postou uma carta no Facebook se despedindo, depois tentou suicidio. Pensei q nunca fosse ver isso de perto ☹️"
429," não sou, sou tipo o que o kurt disse na carta de suicídio dele: ""um triste, autodestrutivo, e mortal roqueiro"""
430,listen before i go da billie é uma daquelas musicas gatilho pra mim... a musica parece pra caralho com uma carta de… 
